time	V(vout)
0.000000000000000e+00	8.826528e-03
4.885901307349554e-03	8.826528e-03
4.998205994849551e-03	8.826528e-03
5.000000000000000e-03	8.826528e-03
Step Information: Run=39  (Step: 39/1000)
0.000000000000000e+00	1.022651e-02
4.885901307349554e-03	1.022651e-02
4.998205994849551e-03	1.022651e-02
5.000000000000000e-03	1.022651e-02
Step Information: Run=40  (Step: 40/1000)
0.000000000000000e+00	9.899719e-03
4.885901307349554e-03	9.899719e-03
4.998205994849551e-03	9.899719e-03
5.000000000000000e-03	9.899719e-03
Step Information: Run=41  (Step: 41/1000)
0.000000000000000e+00	1.213480e-02
4.885901307349554e-03	1.213480e-02
4.998205994849551e-03	1.213480e-02
5.000000000000000e-03	1.213480e-02
Step Information: Run=42  (Step: 42/1000)
0.000000000000000e+00	9.758677e-03
4.885901307349554e-03	9.758677e-03
4.998205994849551e-03	9.758677e-03
5.000000000000000e-03	9.758677e-03
Step Information: Run=43  (Step: 43/1000)
0.000000000000000e+00	1.200458e-02
4.885901307349554e-03	1.200458e-02
4.998205994849551e-03	1.200458e-02
5.000000000000000e-03	1.200458e-02
Step Information: Run=44  (Step: 44/1000)
0.000000000000000e+00	9.623687e-03
4.885901307349554e-03	9.623687e-03
4.998205994849551e-03	9.623687e-03
5.000000000000000e-03	9.623687e-03
Step Information: Run=45  (Step: 45/1000)
0.000000000000000e+00	1.094743e-02
4.885901307349554e-03	1.094743e-02
4.998205994849551e-03	1.094743e-02
5.000000000000000e-03	1.094743e-02
Step Information: Run=46  (Step: 46/1000)
0.000000000000000e+00	8.489124e-03
4.885901307349554e-03	8.489124e-03
4.998205994849551e-03	8.489124e-03
5.000000000000000e-03	8.489124e-03
Step Information: Run=47  (Step: 47/1000)
0.000000000000000e+00	1.049066e-02
4.885901307349554e-03	1.049066e-02
4.998205994849551e-03	1.049066e-02
5.000000000000000e-03	1.049066e-02
Step Information: Run=48  (Step: 48/1000)
0.000000000000000e+00	9.379620e-03
4.885901307349554e-03	9.379620e-03
4.998205994849551e-03	9.379620e-03
5.000000000000000e-03	9.379620e-03
Step Information: Run=49  (Step: 49/1000)
0.000000000000000e+00	8.974923e-03
4.885901307349554e-03	8.974923e-03
4.998205994849551e-03	8.974923e-03
5.000000000000000e-03	8.974923e-03
Step Information: Run=50  (Step: 50/1000)
0.000000000000000e+00	9.820118e-03
4.885901307349554e-03	9.820118e-03
4.998205994849551e-03	9.820118e-03
5.000000000000000e-03	9.820118e-03
Step Information: Run=51  (Step: 51/1000)
0.000000000000000e+00	1.018938e-02
4.885901307349554e-03	1.018938e-02
4.998205994849551e-03	1.018938e-02
5.000000000000000e-03	1.018938e-02
Step Information: Run=52  (Step: 52/1000)
0.000000000000000e+00	9.906880e-03
4.885901307349554e-03	9.906880e-03
4.998205994849551e-03	9.906880e-03
5.000000000000000e-03	9.906880e-03
Step Information: Run=53  (Step: 53/1000)
0.000000000000000e+00	1.162394e-02
4.885901307349554e-03	1.162394e-02
4.998205994849551e-03	1.162394e-02
5.000000000000000e-03	1.162394e-02
Step Information: Run=54  (Step: 54/1000)
0.000000000000000e+00	8.504937e-03
4.885901307349554e-03	8.504937e-03
4.998205994849551e-03	8.504937e-03
5.000000000000000e-03	8.504937e-03
Step Information: Run=55  (Step: 55/1000)
0.000000000000000e+00	8.871805e-03
4.885901307349554e-03	8.871805e-03
4.998205994849551e-03	8.871805e-03
5.000000000000000e-03	8.871805e-03
Step Information: Run=56  (Step: 56/1000)
0.000000000000000e+00	1.094667e-02
4.885901307349554e-03	1.094667e-02
4.998205994849551e-03	1.094667e-02
5.000000000000000e-03	1.094667e-02
Step Information: Run=57  (Step: 57/1000)
0.000000000000000e+00	8.322715e-03
4.885901307349554e-03	8.322715e-03
4.998205994849551e-03	8.322715e-03
5.000000000000000e-03	8.322715e-03
Step Information: Run=58  (Step: 58/1000)
0.000000000000000e+00	1.089006e-02
4.885901307349554e-03	1.089006e-02
4.998205994849551e-03	1.089006e-02
5.000000000000000e-03	1.089006e-02
Step Information: Run=59  (Step: 59/1000)
0.000000000000000e+00	8.747150e-03
4.885901307349554e-03	8.747150e-03
4.998205994849551e-03	8.747150e-03
5.000000000000000e-03	8.747150e-03
Step Information: Run=60  (Step: 60/1000)
0.000000000000000e+00	1.219943e-02
4.885901307349554e-03	1.219943e-02
4.998205994849551e-03	1.219943e-02
5.000000000000000e-03	1.219943e-02
Step Information: Run=61  (Step: 61/1000)
0.000000000000000e+00	1.282034e-02
4.885901307349554e-03	1.282034e-02
4.998205994849551e-03	1.282034e-02
5.000000000000000e-03	1.282034e-02
Step Information: Run=62  (Step: 62/1000)
0.000000000000000e+00	1.075692e-02
4.885901307349554e-03	1.075692e-02
4.998205994849551e-03	1.075692e-02
5.000000000000000e-03	1.075692e-02
Step Information: Run=63  (Step: 63/1000)
0.000000000000000e+00	8.207951e-03
4.885901307349554e-03	8.207951e-03
4.998205994849551e-03	8.207951e-03
5.000000000000000e-03	8.207951e-03
Step Information: Run=64  (Step: 64/1000)
0.000000000000000e+00	9.508044e-03
4.885901307349554e-03	9.508044e-03
4.998205994849551e-03	9.508044e-03
5.000000000000000e-03	9.508044e-03
Step Information: Run=65  (Step: 65/1000)
0.000000000000000e+00	8.667948e-03
4.885901307349554e-03	8.667948e-03
4.998205994849551e-03	8.667948e-03
5.000000000000000e-03	8.667948e-03
Step Information: Run=66  (Step: 66/1000)
0.000000000000000e+00	1.214628e-02
4.885901307349554e-03	1.214628e-02
4.998205994849551e-03	1.214628e-02
5.000000000000000e-03	1.214628e-02
