time	V(vout)
4.998205994849551e-03	9.156352e-02
5.000000000000000e-03	9.156352e-02
Step Information: Run=49  (Step: 49/1000)
0.000000000000000e+00	8.932792e-02
4.885901307349554e-03	8.932792e-02
4.998205994849551e-03	8.932792e-02
5.000000000000000e-03	8.932792e-02
Step Information: Run=50  (Step: 50/1000)
0.000000000000000e+00	9.691286e-02
4.885901307349554e-03	9.691286e-02
4.998205994849551e-03	9.691286e-02
5.000000000000000e-03	9.691286e-02
Step Information: Run=51  (Step: 51/1000)
0.000000000000000e+00	1.007295e-01
4.885901307349554e-03	1.007295e-01
4.998205994849551e-03	1.007295e-01
5.000000000000000e-03	1.007295e-01
Step Information: Run=52  (Step: 52/1000)
0.000000000000000e+00	9.741033e-02
4.885901307349554e-03	9.741033e-02
4.998205994849551e-03	9.741033e-02
5.000000000000000e-03	9.741033e-02
Step Information: Run=53  (Step: 53/1000)
0.000000000000000e+00	1.148362e-01
4.885901307349554e-03	1.148362e-01
4.998205994849551e-03	1.148362e-01
5.000000000000000e-03	1.148362e-01
Step Information: Run=54  (Step: 54/1000)
0.000000000000000e+00	8.296014e-02
4.885901307349554e-03	8.296014e-02
4.998205994849551e-03	8.296014e-02
5.000000000000000e-03	8.296014e-02
Step Information: Run=55  (Step: 55/1000)
0.000000000000000e+00	8.704479e-02
4.885901307349554e-03	8.704479e-02
4.998205994849551e-03	8.704479e-02
5.000000000000000e-03	8.704479e-02
Step Information: Run=56  (Step: 56/1000)
0.000000000000000e+00	1.083221e-01
4.885901307349554e-03	1.083221e-01
4.998205994849551e-03	1.083221e-01
5.000000000000000e-03	1.083221e-01
Step Information: Run=57  (Step: 57/1000)
0.000000000000000e+00	8.259419e-02
4.885901307349554e-03	8.259419e-02
4.998205994849551e-03	8.259419e-02
5.000000000000000e-03	8.259419e-02
Step Information: Run=58  (Step: 58/1000)
0.000000000000000e+00	1.076102e-01
4.885901307349554e-03	1.076102e-01
4.998205994849551e-03	1.076102e-01
5.000000000000000e-03	1.076102e-01
Step Information: Run=59  (Step: 59/1000)
0.000000000000000e+00	8.594926e-02
4.885901307349554e-03	8.594926e-02
4.998205994849551e-03	8.594926e-02
5.000000000000000e-03	8.594926e-02
Step Information: Run=60  (Step: 60/1000)
0.000000000000000e+00	1.223251e-01
4.885901307349554e-03	1.223251e-01
4.998205994849551e-03	1.223251e-01
5.000000000000000e-03	1.223251e-01
Step Information: Run=61  (Step: 61/1000)
0.000000000000000e+00	1.262196e-01
4.885901307349554e-03	1.262196e-01
4.998205994849551e-03	1.262196e-01
5.000000000000000e-03	1.262196e-01
Step Information: Run=62  (Step: 62/1000)
0.000000000000000e+00	1.077560e-01
4.885901307349554e-03	1.077560e-01
4.998205994849551e-03	1.077560e-01
5.000000000000000e-03	1.077560e-01
Step Information: Run=63  (Step: 63/1000)
0.000000000000000e+00	8.246283e-02
4.885901307349554e-03	8.246283e-02
4.998205994849551e-03	8.246283e-02
5.000000000000000e-03	8.246283e-02
Step Information: Run=64  (Step: 64/1000)
0.000000000000000e+00	9.330779e-02
4.885901307349554e-03	9.330779e-02
4.998205994849551e-03	9.330779e-02
5.000000000000000e-03	9.330779e-02
Step Information: Run=65  (Step: 65/1000)
0.000000000000000e+00	8.648146e-02
4.885901307349554e-03	8.648146e-02
4.998205994849551e-03	8.648146e-02
5.000000000000000e-03	8.648146e-02
Step Information: Run=66  (Step: 66/1000)
0.000000000000000e+00	1.187850e-01
4.885901307349554e-03	1.187850e-01
4.998205994849551e-03	1.187850e-01
5.000000000000000e-03	1.187850e-01
Step Information: Run=67  (Step: 67/1000)
0.000000000000000e+00	9.424672e-02
4.885901307349554e-03	9.424672e-02
4.998205994849551e-03	9.424672e-02
5.000000000000000e-03	9.424672e-02
Step Information: Run=68  (Step: 68/1000)
0.000000000000000e+00	1.116519e-01
4.885901307349554e-03	1.116519e-01
4.998205994849551e-03	1.116519e-01
5.000000000000000e-03	1.116519e-01
Step Information: Run=69  (Step: 69/1000)
0.000000000000000e+00	8.729229e-02
4.885901307349554e-03	8.729229e-02
4.998205994849551e-03	8.729229e-02
5.000000000000000e-03	8.729229e-02
Step Information: Run=70  (Step: 70/1000)
0.000000000000000e+00	1.099751e-01
4.885901307349554e-03	1.099751e-01
4.998205994849551e-03	1.099751e-01
5.000000000000000e-03	1.099751e-01
Step Information: Run=71  (Step: 71/1000)
0.000000000000000e+00	9.006240e-02
4.885901307349554e-03	9.006240e-02
4.998205994849551e-03	9.006240e-02
5.000000000000000e-03	9.006240e-02
Step Information: Run=72  (Step: 72/1000)
0.000000000000000e+00	1.210778e-01
4.885901307349554e-03	1.210778e-01
4.998205994849551e-03	1.210778e-01
5.000000000000000e-03	1.210778e-01
Step Information: Run=73  (Step: 73/1000)
0.000000000000000e+00	9.028742e-02
4.885901307349554e-03	9.028742e-02
4.998205994849551e-03	9.028742e-02
5.000000000000000e-03	9.028742e-02
Step Information: Run=74  (Step: 74/1000)
0.000000000000000e+00	9.786152e-02
4.885901307349554e-03	9.786152e-02
4.998205994849551e-03	9.786152e-02
5.000000000000000e-03	9.786152e-02
Step Information: Run=75  (Step: 75/1000)
0.000000000000000e+00	1.334185e-01
4.885901307349554e-03	1.334185e-01
4.998205994849551e-03	1.334185e-01
5.000000000000000e-03	1.334185e-01
Step Information: Run=76  (Step: 76/1000)
0.000000000000000e+00	1.233122e-01
4.885901307349554e-03	1.233122e-01
4.998205994849551e-03	1.233122e-01
5.000000000000000e-03	1.233122e-01
Step Information: Run=77  (Step: 77/1000)
0.000000000000000e+00	9.775441e-02
4.885901307349554e-03	9.775441e-02
4.998205994849551e-03	9.775441e-02
5.000000000000000e-03	9.775441e-02
Step Information: Run=78  (Step: 78/1000)
0.000000000000000e+00	1.063042e-01
4.885901307349554e-03	1.063042e-01
4.998205994849551e-03	1.063042e-01
5.000000000000000e-03	1.063042e-01
Step Information: Run=79  (Step: 79/1000)
0.000000000000000e+00	1.097358e-01
4.885901307349554e-03	1.097358e-01
4.998205994849551e-03	1.097358e-01
5.000000000000000e-03	1.097358e-01
Step Information: Run=80  (Step: 80/1000)
0.000000000000000e+00	1.160113e-01
4.885901307349554e-03	1.160113e-01
4.998205994849551e-03	1.160113e-01
5.000000000000000e-03	1.160113e-01
Step Information: Run=81  (Step: 81/1000)
0.000000000000000e+00	8.465373e-02
4.885901307349554e-03	8.465373e-02
4.998205994849551e-03	8.465373e-02
5.000000000000000e-03	8.465373e-02
Step Information: Run=82  (Step: 82/1000)
0.000000000000000e+00	9.371597e-02
4.885901307349554e-03	9.371597e-02
4.998205994849551e-03	9.371597e-02
5.000000000000000e-03	9.371597e-02
Step Information: Run=83  (Step: 83/1000)
0.000000000000000e+00	9.816218e-02
4.885901307349554e-03	9.816218e-02
4.998205994849551e-03	9.816218e-02
5.000000000000000e-03	9.816218e-02
Step Information: Run=84  (Step: 84/1000)
0.000000000000000e+00	1.108843e-01
4.885901307349554e-03	1.108843e-01
4.998205994849551e-03	1.108843e-01
5.000000000000000e-03	1.108843e-01
Step Information: Run=85  (Step: 85/1000)
0.000000000000000e+00	9.142748e-02
4.885901307349554e-03	9.142748e-02
4.998205994849551e-03	9.142748e-02
5.000000000000000e-03	9.142748e-02
Step Information: Run=86  (Step: 86/1000)
0.000000000000000e+00	7.738335e-02
4.885901307349554e-03	7.738335e-02
4.998205994849551e-03	7.738335e-02
5.000000000000000e-03	7.738335e-02
Step Information: Run=87  (Step: 87/1000)
0.000000000000000e+00	1.162310e-01
4.885901307349554e-03	1.162310e-01
4.998205994849551e-03	1.162310e-01
5.000000000000000e-03	1.162310e-01
Step Information: Run=88  (Step: 88/1000)
0.000000000000000e+00	8.732809e-02
4.885901307349554e-03	8.732809e-02
4.998205994849551e-03	8.732809e-02
5.000000000000000e-03	8.732809e-02
Step Information: Run=89  (Step: 89/1000)
0.000000000000000e+00	9.768245e-02
4.885901307349554e-03	9.768245e-02
4.998205994849551e-03	9.768245e-02
5.000000000000000e-03	9.768245e-02
Step Information: Run=90  (Step: 90/1000)
0.000000000000000e+00	8.571175e-02
4.885901307349554e-03	8.571175e-02
4.998205994849551e-03	8.571175e-02
5.000000000000000e-03	8.571175e-02
Step Information: Run=91  (Step: 91/1000)
0.000000000000000e+00	1.053098e-01
4.885901307349554e-03	1.053098e-01
4.998205994849551e-03	1.053098e-01
5.000000000000000e-03	1.053098e-01
Step Information: Run=92  (Step: 92/1000)
0.000000000000000e+00	1.029635e-01
4.885901307349554e-03	1.029635e-01
4.998205994849551e-03	1.029635e-01
5.000000000000000e-03	1.029635e-01
Step Information: Run=93  (Step: 93/1000)
0.000000000000000e+00	1.215957e-01
4.885901307349554e-03	1.215957e-01
4.998205994849551e-03	1.215957e-01
5.000000000000000e-03	1.215957e-01
Step Information: Run=94  (Step: 94/1000)
0.000000000000000e+00	1.015193e-01
4.885901307349554e-03	1.015193e-01
4.998205994849551e-03	1.015193e-01
5.000000000000000e-03	1.015193e-01
Step Information: Run=95  (Step: 95/1000)
0.000000000000000e+00	9.062622e-02
4.885901307349554e-03	9.062622e-02
4.998205994849551e-03	9.062622e-02
5.000000000000000e-03	9.062622e-02
Step Information: Run=96  (Step: 96/1000)
0.000000000000000e+00	9.731252e-02
4.885901307349554e-03	9.731252e-02
4.998205994849551e-03	9.731252e-02
5.000000000000000e-03	9.731252e-02
Step Information: Run=97  (Step: 97/1000)
0.000000000000000e+00	9.478098e-02
4.885901307349554e-03	9.478098e-02
4.998205994849551e-03	9.478098e-02
5.000000000000000e-03	9.478098e-02
Step Information: Run=98  (Step: 98/1000)
0.000000000000000e+00	9.971969e-02
4.885901307349554e-03	9.971969e-02
4.998205994849551e-03	9.971969e-02
5.000000000000000e-03	9.971969e-02
Step Information: Run=99  (Step: 99/1000)
0.000000000000000e+00	1.014819e-01
4.885901307349554e-03	1.014819e-01
4.998205994849551e-03	1.014819e-01
5.000000000000000e-03	1.014819e-01
Step Information: Run=100  (Step: 100/1000)
0.000000000000000e+00	9.749457e-02
4.885901307349554e-03	9.749457e-02
4.998205994849551e-03	9.749457e-02
5.000000000000000e-03	9.749457e-02
Step Information: Run=101  (Step: 101/1000)
0.000000000000000e+00	1.028063e-01
4.885901307349554e-03	1.028063e-01
4.998205994849551e-03	1.028063e-01
5.000000000000000e-03	1.028063e-01
Step Information: Run=102  (Step: 102/1000)
0.000000000000000e+00	9.466144e-02
4.885901307349554e-03	9.466144e-02
